strain	originating_lab	submitting_lab	author
A/duck/Bangladesh/64334/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64106/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64111/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/CE11508DB11DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/59006/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/CE11308DA04DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11308DA03DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/59648/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/59650/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/59088/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/59085/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/CE11508DB13DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11508DB14DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11508DA03DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11508DB12DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11508DB10DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DA02DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DA06DUC/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DA05DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DA04DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DA06DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DA01DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/59087/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/CE11109DB13DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/59598/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/59602/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/CE11609DB11DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11609DB10DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/Anasplatyrhynchos/Chongming/1/2024	Chinese Academy Of Sciences		Zhao,Z.
A/chicken/Bangladesh/CE11507CB23RO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11307DA05DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11307DA06DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11307DA02DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/58828/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/59008/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/58663/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58656/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58658/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58662/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58660/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58661/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58659/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/CE11309DA06DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/chicken/Bangladesh/CE11509CA21RO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11309DA04DUC/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11109DB14DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/59601/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/59603/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61858/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61861/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61855/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61856/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/61863/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/63953/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/63950/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/CE11108DA03DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11108DA01DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/58825/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58824/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58826/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/CE11308DB10DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11608DB12DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11608DB11DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11308DB15DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11308DB11DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/Anascrecca/Chongming/2024	Chinese Academy Of Sciences		Zhao,Z.
A/Anaspoecilorhyncha/Chongming/1/2024	Chinese Academy Of Sciences		Zhao,Z.
A/Anasplatyrhynchos/Haikou/2024	Chinese Academy Of Sciences		Zhao,Z.
A/duck/Bangladesh/58592/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/59010/2023	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/58590/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58591/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/58588/2023	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M.; Webby,R.J.
A/duck/Bangladesh/CE11108DA06DUO/2023	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11109DA06DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11309DB10DUC/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/CE11309DB10DUO/2024	Ceirr Influenza Data Processing And Communication Center, University Of Pennsylvania Center Of Excellence For Influenza Research		Coggon,A., Linton-Jenkins,J., Nath,L.K., Bryne,A., Barua,H., James,J., Hoque,M.A., Fournie,G., Banyard,A., Biswas,P. and Lewis,N.
A/duck/Bangladesh/64344/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64265/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64178/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64182/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64993/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/environment/Bangladesh/65044/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64991/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64990/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64116/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64117/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64104/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bangladesh/64112/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Barman,S., Turner,J.C., Hasan,M.K., Akhtar,S., Franks,J., Walker,D., Seiler,P., Mukherjee,N., Kercher,L., McKenzie,P., Feeroz,M. and Webby,R.J.
A/duck/Bulgaria/4824VIR29915/2024	Ndrvmi (national Diagnostic And Research Veterinary Medical Institute)	Istituto Zooprofilattico Sperimentale Delle Venezie	Cavicchio, L.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C.
A/domesticduck/Bulgaria/86024VIR1102510/2024	Ndrvmi (national Diagnostic And Research Veterinary Medical Institute)	Istituto Zooprofilattico Sperimentale Delle Venezie	Dianati, M.; Salomoni, A.; Cavicchio, L.; Savegnago, E.; Fusaro, A.; Ormelli, S.; Varotto, M.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Sartori, A.; Zamperin, G.; Monne, I.; Terregino, C.
A/chicken/Slovakia/Vh2032/2023	State Veterinary Institute	State Veterinary Institute Prague	Nagy,Alexander;Dirbakova,Zuzana;Tinak,Martin
A/chicken/Austria/24000087002/2024	Institute For Veterinary Disease Control Moedling	Austrian Agency For Health And Food Safety (ages)	?
A/chicken/CzechRepublic/12682/2024	State Veterinary Institute Prague	State Veterinary Institute Prague	Alexander,Nagy;Lenka,Cernikova
